model,date,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet
DeepSeek-R1-1776,25-06-05,50.96685925242272,57.155668358714045,9.53672235040763,5.265272727272728,12.219032148900169,16.317766497461935,10.834698431010615,0.8793893456459045,0.8330264687538147
OpenAI-o3,25-04-16,39.261138211382104,42.68292682926829,14.707317073170728,13.393333333333333,18.381300813008124,16.169756097560978,15.66292682926829,0.9073473811149597,0.9033800363540649
DeepL-v2-api-v3.8.0,25-12-10,41.564043956043975,43.78632478632478,14.367682539682534,13.377,17.86523565323565,15.580219780219778,15.297534493284491,0.897308349609375,0.8975126147270203
Deepseek-v3-deepthink,25-07-24,55.969779983457386,54.62034739454094,9.37793548387097,6.582333333333334,11.998259718775849,15.06129032258065,10.754954714640201,0.9215020537376404,0.9008544087409973
qwen-3-235b-a22b-no-thinking,25-07-24,40.10682430213464,42.7807881773399,14.529221674876851,13.262666666666666,18.26869293924466,16.167733990147784,15.557078817733991,0.90486079454422,0.8994517922401428
Human,25-09-30,76.4625361155698,61.69662921348315,6.267030497592295,6.2299999999999995,9.007768860353128,11.833707865168545,8.334626805778491,1.0,0.9288830161094666
Grok-4,25-07-25,50.83415477629987,47.863361547763,11.638888754534463,10.13075,14.694581620314388,15.03361547762999,12.87445896311971,0.9216588139533997,0.9018416404724121
Grok-4.1,25-12-10,49.241018773466834,47.360450563204004,11.722163954943678,9.78775,14.85182853566959,15.544180225281607,12.976480678973719,0.9134489893913269,0.9018393158912659
Gemini-3.0-Pro,25-12-10,41.860280442804424,43.45264452644526,14.282937269372695,13.279,17.968034440344404,15.798523985239854,15.332123923739239,0.9192867279052734,0.9026897549629211
OpenAI-GPT-5.1-Pro,25-12-10,40.66293715194908,43.236276849642,14.630701670644392,13.687333333333333,18.282313444709622,15.760143198090692,15.590122911694511,0.8984570503234863,0.9067591428756714
Mistral-Medium-3,25-07-24,40.79181092094538,42.9119804400978,14.472234718826407,13.360666666666665,18.258947025264874,16.05867970660147,15.537632029339854,0.9141520261764526,0.903145432472229
qwen-3-max,25-07-24,50.81790550795591,50.028151774785805,10.73184920440637,8.0066,13.56218261933904,15.673929008567935,11.993640208078336,0.902947723865509,0.9020723700523376
OpenAI-GPT-4.1,25-07-24,48.22031920199501,47.05486284289277,11.885331670822943,9.8245,14.999556109725688,15.682793017456362,13.098045199501248,0.9057894349098206,0.9023104310035706
Claude-4.0-Sonnet,25-07-24,48.973390334572485,47.00495662949194,11.802776951672861,9.88575,15.034868649318462,15.666171003717473,13.0973916511772,0.9197248220443726,0.9017866849899292
google-translate,25-09-07,53.02719999999999,51.02205882352941,10.408533333333331,7.9968,13.106535294117641,15.14779411764706,11.664915686274508,0.9161179661750793,0.898956298828125
Claude-4.5-Sonnet,25-12-10,40.421186813186836,42.62637362637363,14.532761904761898,13.377,18.398813186813186,16.20659340659341,15.628792124542123,0.9174036979675293,0.9074955582618713
Gemini-2.5-Pro,25-06-05,55.29036372315039,51.95942720763723,10.17393412887828,8.2124,12.646953699284005,14.414797136038189,11.362021241050119,0.9139684438705444,0.9037473797798157
Claude-4.1-Opus,24-09-30,54.63573029919931,54.2212389380531,9.518187104930469,6.459833333333333,12.266659081331646,15.475853350189634,10.93013321744627,0.9213449358940125,0.9050753712654114
DeepL-v2-api-v3.4.1,25-06-05,52.77760000000001,50.871980676328505,10.494933333333329,8.1144,13.15862222222222,15.103623188405802,11.717894685990338,0.9029492139816284,0.897108256816864
Maritaca-ai-Sabia-3.1,25-07-24,52.29088090932575,50.68354430379747,10.47344872126066,7.9,13.278940842159649,15.436455696202536,11.77221131490571,0.917492687702179,0.8910836577415466
Gemini-2.5-Flash,25-06-05,42.636370188370165,43.60687960687961,14.177828009828012,13.295333333333334,17.905497133497136,15.708845208845212,15.271875921375923,0.9158998727798462,0.8999791741371155
Deepseek-v3.2-deepthink,25-12-10,55.44184269662918,54.43071161048689,9.436711610486896,6.5415,12.112951310861419,15.229213483146069,10.830094101123596,0.9227991104125977,0.9013170599937439
MoonshotAI-Kimi-K2,25-07-24,57.26961522198732,56.36918604651163,8.996295983086679,6.1294545454545455,11.546151162790697,14.89244186046512,10.39108588794926,0.898565948009491,0.8409072756767273
Nvidia-Llama-3.1-Nemotron-Ultra-253B-v1,25-07-24,42.64353413654618,43.53012048192771,14.288674698795177,13.556666666666667,18.0774297188755,15.650120481927715,15.393222891566264,0.9116157293319702,0.8907999396324158
Claude-4.0-Sonnet-Thinking,25-07-24,48.761571248423735,46.868852459016395,11.759950819672131,9.71425,15.064235813366963,15.863051702395968,13.100372083858765,0.9148433804512024,0.9024284482002258
