model,date,item,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet,metricx_ref,metricx_qe
Claude-4.0-Sonnet,25-07-24,0,48.973390334572485,47.00495662949194,11.802776951672861,9.88575,15.034868649318462,15.666171003717473,13.0973916511772,0.6931872367858887,0.7704720497131348,0.03202074393630028,0.03202074393630028
Claude-4.0-Sonnet-Thinking,25-07-24,1,48.761571248423735,46.868852459016395,11.759950819672131,9.71425,15.064235813366963,15.863051702395968,13.100372083858765,0.6882781386375427,0.7695578932762146,-0.05169840157032013,-0.05169840157032013
Claude-4.1-Opus,24-09-30,2,54.63573029919931,54.2212389380531,9.518187104930469,6.459833333333333,12.266659081331646,15.475853350189634,10.93013321744627,0.6869469881057739,0.7782006859779358,0.14213843643665314,0.14213843643665314
Claude-4.5-Sonnet,25-12-10,3,40.421186813186836,42.62637362637363,14.532761904761898,13.377,18.398813186813186,16.20659340659341,15.628792124542123,0.6917394995689392,0.7797371745109558,0.11146452277898788,0.11146452277898788
DeepL-v2-api-v3.4.1,25-06-05,4,52.77760000000001,50.871980676328505,10.494933333333329,8.1144,13.15862222222222,15.103623188405802,11.717894685990338,0.6874216794967651,0.7650113701820374,0.022095946595072746,0.022095946595072746
DeepL-v2-api-v3.8.0,25-12-10,5,41.564043956043975,43.78632478632478,14.367682539682534,13.377,17.86523565323565,15.580219780219778,15.297534493284491,0.6934086084365845,0.7641142010688782,-0.036844443529844284,-0.036844443529844284
DeepSeek-R1-1776,25-06-05,6,50.96685925242272,57.155668358714045,9.53672235040763,5.265272727272728,12.219032148900169,16.317766497461935,10.834698431010615,0.678618311882019,0.7162474393844604,0.19217641651630402,0.19217641651630402
Deepseek-v3-deepthink,25-07-24,7,55.969779983457386,54.62034739454094,9.37793548387097,6.582333333333334,11.998259718775849,15.06129032258065,10.754954714640201,0.6857011914253235,0.7647200226783752,0.0816127136349678,0.0816127136349678
Deepseek-v3.2-deepthink,25-12-10,8,55.44184269662918,54.43071161048689,9.436711610486896,6.5415,12.112951310861419,15.229213483146069,10.830094101123596,0.6870639324188232,0.7655903697013855,0.048311129212379456,0.048311129212379456
Gemini-2.5-Flash,25-06-05,9,42.636370188370165,43.60687960687961,14.177828009828012,13.295333333333334,17.905497133497136,15.708845208845212,15.271875921375923,0.6912491917610168,0.7649513483047485,-0.0326354056596756,-0.0326354056596756
Gemini-2.5-Pro,25-06-05,10,55.29036372315039,51.95942720763723,10.17393412887828,8.2124,12.646953699284005,14.414797136038189,11.362021241050119,0.6891034841537476,0.7800984382629395,-0.11080802232027054,-0.11080802232027054
Gemini-3.0-Pro,25-12-10,11,41.860280442804424,43.45264452644526,14.282937269372695,13.279,17.968034440344404,15.798523985239854,15.332123923739239,0.6923772096633911,0.7675493955612183,0.03661395236849785,0.03661395236849785
google-translate,25-09-07,12,53.02719999999999,51.02205882352941,10.408533333333331,7.9968,13.106535294117641,15.14779411764706,11.664915686274508,0.6871205568313599,0.7650933861732483,0.19356057047843933,0.19356057047843933
