model_id,date,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet,flesch_reading_ease_norm,gulpease_index_norm,flesch_kincaid_grade_level_norm,gunning_fog_index_norm,automated_readability_index_norm,coleman_liau_index_norm,final_readability_score_norm,bertscore_norm,comet_norm,final_score
CHYPS-V-br20-Claude-4.1-Opus-24-09-30,2026-01-23,66.5,88.6,6.3,8.0,6.1,10.0,8,0.7120550274848938,0.7523332834243774,0.38202247191011224,1.0,0.666666666666667,0.9375000000000002,0.5625000000000003,0.5,1.0,0.6380695879061761,0.44695140870644445,0.6815233483543778
CHYPS-V-br20-Gemini-2.5-Pro-25-06-05,2026-01-23,69.0,80.5,6.3,8.7,5.4,9.1,7,0.7131612300872803,0.7636045813560486,0.6629213483146067,0.48076923076923095,0.666666666666667,0.5000000000000006,1.0,1.0,0.0,0.7004720787604907,0.7100634610113412,0.6356547539469264
CHYPS-V-br20-Human-25-09-30,2026-01-23,72.0,79.8,5.9,8.9,5.6,9.3,7,0.7184709310531616,0.7331866025924683,1.0,0.43589743589743585,1.0,0.3749999999999999,0.8750000000000004,0.8888888888888884,0.0,1.0,0.0,0.6194207027540362
CHYPS-V-br20-DeepL-v2-api-v3.4.1-25-06-05,2026-01-23,67.2,78.7,6.5,8.0,6.5,10.4,8,0.7061530947685242,0.773702085018158,0.460674157303371,0.3653846153846157,0.5,0.9375000000000002,0.3125000000000001,0.2777777777777777,1.0,0.3051330159242522,0.9457749937735579,0.567193840018175
CHYPS-V-br20-google-translate-25-09-07,2026-01-23,66.5,79.1,6.6,7.9,6.4,10.4,8,0.7107642292976379,0.74649578332901,0.38202247191011224,0.3910256410256408,0.41666666666666696,1.0,0.3749999999999999,0.2777777777777777,1.0,0.5652537927695287,0.31068346159572235,0.5242699790828277
CHYPS-V-br20-MoonshotAI-Kimi-K2-25-07-24,2026-01-23,67.2,87.9,6.2,8.0,5.9,9.8,7,0.702664315700531,0.7394723296165466,0.460674157303371,0.9551282051282058,0.75,0.9375000000000002,0.6875,0.6111111111111107,0.0,0.10832593608779859,0.14673115266401282,0.5174411735882777
CHYPS-V-br20-Deepseek-v3.2-deepthink-25-12-10,2026-01-23,64.7,74.3,7.1,9.3,6.8,10.6,8,0.714280903339386,0.7760249972343445,0.1797752808988766,0.08333333333333318,0.0,0.12499999999999956,0.1250000000000001,0.16666666666666696,1.0,0.7636344684742845,1.0,0.3826010832636845
CHYPS-V-br20-Grok-4-25-07-25,2026-01-23,66.2,73.0,7.0,9.5,6.5,10.1,8,0.7169928550720215,0.7405343651771545,0.3483146067415733,0.0,0.08333333333333304,0.0,0.3125000000000001,0.44444444444444464,1.0,0.916619593285991,0.17152282773695612,0.36408164506025537
CHYPS-V-br20-Grok-4.1-25-12-10,2026-01-23,65.4,74.8,7.0,9.0,6.7,10.5,8,0.7182774543762207,0.7363116145133972,0.25842696629213535,0.11538461538461524,0.08333333333333304,0.3125000000000001,0.1874999999999999,0.22222222222222232,1.0,0.9890857004519045,0.07294885690870714,0.3601557438436575
CHYPS-V-br20-qwen-3-max-25-07-24,2026-01-23,63.1,78.4,7.1,8.2,6.9,10.9,8,0.7007440328598022,0.7684171199798584,0.0,0.34615384615384664,0.0,0.8125000000000007,0.06249999999999978,0.0,1.0,0.0,0.822405173721214,0.33817322443056236
CHYPS-V-br20-Deepseek-v3-deepthink-25-07-24,2026-01-23,65.5,74.3,7.0,9.5,6.7,10.5,8,0.7094649076461792,0.7512671947479248,0.2696629213483145,0.08333333333333318,0.08333333333333304,0.0,0.1874999999999999,0.22222222222222232,1.0,0.49195717667312244,0.42206511954073206,0.30667490071678416
CHYPS-V-br20-OpenAI-GPT-4.1-25-07-24,2026-01-23,64.7,73.6,7.1,9.0,7.0,10.8,8,0.7090052366256714,0.7489941716194153,0.1797752808988766,0.03846153846153811,0.0,0.3125000000000001,0.0,0.05555555555555536,1.0,0.46602646868947706,0.3690047014855804,0.2690359494545586
